Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
50,No,Travel_Rarely,563,Research & Development,6,1,Life Sciences,1,493,4,Male,42,3,3,Sales Executive,3,Divorced,9823,19928,4,Y,Yes,25,3,2,80,2,22,0,3,9,7,2,6
43,No,Travel_Rarely,729,Research & Development,9,5,Technical Degree,1,494,3,Male,86,4,3,Manufacturing Director,3,Married,6336,13444,2,Y,Yes,22,3,3,80,1,7,4,4,0,0,0,0
30,Yes,Travel_Frequently,365,Sales,23,1,Medical,1,495,1,Male,49,2,2,Laboratory Technician,4,Divorced,4949,8467,1,Y,No,18,3,3,80,2,2,1,1,0,0,0,0
35,No,Travel_Rarely,256,Research & Development,9,1,Medical,1,496,2,Male,80,4,2,Sales Executive,3,Divorced,5406,10415,0,Y,No,16,4,1,80,1,4,2,3,4,3,1,2
23,No,Non-Travel,1349,Research & Development,17,5,Life Sciences,1,497,1,Male,97,2,1,Sales Executive,1,Married,2099,26936,3,Y,No,17,3,2,80,0,8,0,1,3,2,1,2
34,No,Travel_Rarely,1057,Research & Development,18,4,Technical Degree,1,498,2,Male,66,4,2,Sales Executive,1,Married,3419,12308,3,Y,Yes,14,3,4,80,2,10,1,2,8,7,4,5
57,No,Travel_Rarely,571,Research & Development,10,5,Medical,1,499,4,Female,68,3,5,Research Scientist,4,Married,18798,14101,3,Y,No,22,3,3,80,0,19,6,3,19,14,3,5
36,Yes,Travel_Rarely,899,Research & Development,9,4,Life Sciences,1,500,2,Male,79,1,2,Sales Executive,1,Married,4586,14377,2,Y,Yes,17,3,3,80,0,10,3,1,10,4,4,7
22,No,Travel_Rarely,795,Research & Development,11,4,Life Sciences,1,501,2,Male,38,4,1,Laboratory Technician,2,Married,3970,10837,2,Y,Yes,17,3,1,80,0,3,5,2,3,1,1,2
46,No,Travel_Rarely,241,Research & Development,3,3,Marketing,1,502,2,Male,36,3,4,Sales Representative,2,Single,14619,5753,1,Y,No,24,3,1,80,1,10,2,2,4,1,2,1
59,Yes,Travel_Rarely,1156,Sales,16,3,Life Sciences,1,503,1,Female,42,2,5,Healthcare Representative,1,Single,19999,7555,2,Y,No,11,4,3,80,3,22,0,1,14,11,8,5
55,No,Travel_Rarely,245,Research & Development,8,3,Medical,1,504,4,Male,60,3,4,Healthcare Representative,3,Married,14132,7535,3,Y,No,16,3,1,80,2,17,4,3,10,4,4,4
29,No,Travel_Frequently,897,Research & Development,13,2,Medical,1,505,3,Male,89,4,2,Sales Executive,4,Married,6207,7047,2,Y,Yes,20,3,1,80,2,2,1,4,2,1,0,2
37,No,Travel_Rarely,511,Research & Development,7,5,Life Sciences,1,506,3,Male,72,1,3,Sales Representative,4,Married,8069,4630,1,Y,Yes,14,3,3,80,2,12,0,4,10,6,3,3
40,No,Travel_Rarely,711,Research & Development,29,2,Medical,1,507,2,Male,91,1,2,Sales Executive,2,Married,7554,25357,1,Y,Yes,13,4,4,80,0,10,3,4,2,2,1,1
28,No,Travel_Rarely,762,Research & Development,29,4,Life Sciences,1,508,2,Male,57,4,2,Research Scientist,2,Single,5512,3894,2,Y,No,18,3,4,80,3,7,2,4,3,2,1,2
29,Yes,Travel_Frequently,709,Research & Development,18,4,Human Resources,1,509,2,Female,87,2,2,Laboratory Technician,1,Single,5377,5024,0,Y,Yes,13,3,2,80,0,6,0,1,6,1,3,5
28,No,Travel_Rarely,413,Sales,1,3,Technical Degree,1,510,1,Male,80,4,1,Human Resources,1,Divorced,3649,16193,3,Y,No,17,4,4,80,0,9,4,1,7,3,3,6
60,No,Travel_Rarely,218,Human Resources,10,4,Life Sciences,1,511,1,Female,37,4,4,Human Resources,4,Married,13226,24986,5,Y,No,12,4,3,80,2,21,3,1,16,9,3,13
50,Yes,Travel_Rarely,285,Research & Development,21,1,Medical,1,512,3,Female,67,4,4,Sales Representative,4,Divorced,13400,19479,2,Y,No,11,3,4,80,1,13,6,4,6,5,1,4
54,No,Travel_Rarely,1117,Human Resources,29,2,Medical,1,513,4,Male,75,4,5,Manager,4,Single,19648,5358,3,Y,Yes,22,3,1,80,0,19,0,1,14,10,3,6
53,No,Travel_Rarely,236,Human Resources,3,3,Other,1,514,1,Male,57,4,5,Laboratory Technician,1,Married,19879,17376,0,Y,No,13,3,3,80,1,18,3,4,4,2,2,1
59,No,Travel_Rarely,809,Research & Development,1,2,Life Sciences,1,515,3,Male,84,3,4,Healthcare Representative,2,Divorced,14716,16882,2,Y,Yes,11,3,4,80,1,22,5,2,12,9,3,4
22,No,Non-Travel,528,Research & Development,8,5,Medical,1,516,4,Female,59,1,1,Sales Executive,3,Single,2904,20197,5,Y,No,11,3,4,80,2,7,2,3,2,1,0,1
55,No,Travel_Rarely,1073,Research & Development,7,5,Human Resources,1,517,3,Female,80,1,4,Research Scientist,4,Single,14325,9353,2,Y,No,19,3,4,80,3,16,1,4,7,2,3,3
20,No,Travel_Rarely,981,Sales,18,4,Life Sciences,1,518,4,Male,80,4,2,Human Resources,2,Married,6653,12217,1,Y,No,18,4,1,80,1,5,6,4,2,2,0,1
38,No,Travel_Rarely,358,Research & Development,4,2,Medical,1,519,4,Female,45,2,3,Human Resources,1,Married,7187,26165,2,Y,No,19,3,3,80,1,4,2,1,0,0,0,0
43,No,Travel_Rarely,1049,Research & Development,7,1,Life Sciences,1,520,2,Female,34,4,3,Research Scientist,4,Divorced,8502,21996,1,Y,No,20,3,1,80,0,12,6,2,2,2,1,1
33,No,Travel_Rarely,1021,Research & Development,8,4,Medical,1,521,1,Female,92,4,3,Research Scientist,1,Divorced,5006,8503,0,Y,No,20,4,2,80,3,7,5,1,7,3,2,2
24,No,Travel_Rarely,497,Research & Development,14,5,Life Sciences,1,522,4,Male,89,3,1,Research Scientist,3,Married,3888,20715,0,Y,No,21,3,1,80,2,9,4,2,3,2,0,1
26,Yes,Travel_Rarely,1277,Sales,17,3,Other,1,523,4,Male,97,1,3,Laboratory Technician,2,Single,7561,23501,1,Y,Yes,23,4,4,80,1,5,5,2,4,2,2,2
53,Yes,Travel_Rarely,717,Research & Development,6,5,Life Sciences,1,524,1,Male,34,1,4,Research Scientist,1,Married,13093,19801,3,Y,Yes,14,3,4,80,0,19,3,4,11,5,5,6
31,No,Travel_Rarely,149,Research & Development,14,5,Life Sciences,1,525,4,Male,79,3,2,Healthcare Representative,3,Divorced,5354,17720,1,Y,Yes,12,3,1,80,3,1,4,3,1,0,0,1
31,No,Non-Travel,979,Research & Development,1,3,Technical Degree,1,526,1,Female,39,2,2,Sales Executive,2,Married,6243,21171,0,Y,Yes,23,3,4,80,0,6,1,1,6,4,3,4
57,Yes,Travel_Rarely,731,Sales,29,2,Marketing,1,527,2,Female,64,2,5,Sales Executive,2,Divorced,19999,15516,2,Y,Yes,12,3,4,80,0,16,0,2,12,5,2,8
24,No,Travel_Rarely,604,Sales,5,1,Medical,1,528,4,Male,87,1,1,Research Scientist,1,Married,1136,7858,1,Y,Yes,17,3,4,80,3,13,4,3,10,4,1,4
57,No,Non-Travel,731,Research & Development,25,4,Marketing,1,529,2,Female,48,2,5,Sales Representative,3,Single,17981,14213,1,Y,Yes,20,3,2,80,1,17,5,3,16,7,1,4
57,No,Travel_Frequently,1469,Research & Development,7,3,Life Sciences,1,530,4,Female,56,1,4,Research Scientist,2,Married,14274,16275,2,Y,No,11,3,4,80,3,19,5,4,7,4,3,5
43,No,Travel_Rarely,644,Sales,18,1,Medical,1,531,1,Female,64,1,3,Laboratory Technician,1,Married,7628,21053,0,Y,No,25,3,4,80,2,13,5,1,11,7,1,3
25,No,Travel_Frequently,1069,Sales,9,1,Life Sciences,1,532,2,Female,62,4,2,Healthcare Representative,2,Single,6503,21393,1,Y,No,24,3,3,80,2,0,6,4,0,0,0,0
24,No,Travel_Rarely,1289,Research & Development,20,5,Life Sciences,1,533,4,Male,31,4,1,Sales Representative,1,Married,2799,5365,2,Y,No,23,3,2,80,3,2,4,4,0,0,0,0
30,Yes,Travel_Rarely,910,Sales,24,2,Human Resources,1,534,4,Male,56,4,3,Research Scientist,3,Married,9562,4556,2,Y,Yes,21,3,4,80,0,8,1,1,8,4,4,3
42,Yes,Travel_Frequently,1345,Research & Development,29,2,Marketing,1,535,2,Female,90,4,3,Manager,3,Single,8202,6053,4,Y,No,22,3,1,80,1,13,1,3,5,3,1,3
24,No,Travel_Frequently,797,Research & Development,16,4,Life Sciences,1,536,1,Male,36,4,1,Research Scientist,4,Married,3654,8247,0,Y,No,19,3,2,80,1,0,1,3,0,0,0,0
37,No,Travel_Rarely,416,Sales,2,2,Life Sciences,1,537,3,Male,54,2,3,Healthcare Representative,4,Married,7351,9001,0,Y,No,22,3,1,80,2,8,6,4,8,5,2,3
22,Yes,Travel_Rarely,789,Research & Development,5,5,Human Resources,1,538,3,Male,73,2,1,Laboratory Technician,1,Married,5325,14318,1,Y,Yes,11,3,4,80,1,7,6,1,5,4,2,2
41,No,Travel_Rarely,274,Sales,29,4,Life Sciences,1,539,2,Male,57,3,3,Human Resources,1,Married,6460,19883,1,Y,No,14,3,1,80,3,14,5,1,11,6,5,7
18,No,Travel_Rarely,509,Research & Development,10,2,Life Sciences,1,540,4,Male,78,3,2,Human Resources,2,Divorced,4651,12409,0,Y,No,11,3,4,80,2,6,6,4,0,0,0,0
48,No,Non-Travel,389,Research & Development,9,2,Life Sciences,1,541,2,Male,48,2,3,Sales Representative,1,Divorced,6796,13319,2,Y,No,12,3,3,80,3,12,2,1,6,2,3,2
20,No,Travel_Rarely,209,Research & Development,18,5,Life Sciences,1,542,4,Female,43,2,2,Human Resources,4,Married,6460,24863,4,Y,No,19,3,2,80,3,7,5,2,7,5,3,5
26,No,Travel_Rarely,316,Research & Development,16,3,Life Sciences,1,543,4,Female,95,1,2,Sales Executive,4,Single,6148,20825,1,Y,Yes,22,3,3,80,2,5,1,2,5,3,2,2
25,No,Travel_Rarely,1272,Sales,29,5,Other,1,544,2,Female,83,2,2,Healthcare Representative,2,Married,4038,20788,2,Y,No,24,3,1,80,1,10,0,3,10,7,2,3
53,No,Travel_Rarely,1300,Research & Development,11,2,Life Sciences,1,545,1,Male,51,4,4,Sales Executive,4,Single,15197,20780,1,Y,No,13,3,4,80,2,17,4,2,12,8,1,7
20,No,Travel_Rarely,1366,Research & Development,10,1,Medical,1,546,2,Female,37,2,1,Research Scientist,3,Divorced,2162,3110,1,Y,Yes,20,3,2,80,1,0,4,4,0,0,0,0
36,Yes,Non-Travel,136,Research & Development,23,5,Marketing,1,547,4,Female,61,3,3,Laboratory Technician,3,Married,8965,20359,2,Y,Yes,22,3,4,80,1,13,4,1,7,5,3,5
43,No,Travel_Rarely,1463,Human Resources,19,2,Medical,1,548,4,Male,85,4,3,Manager,4,Married,9247,13682,4,Y,No,11,4,4,80,0,11,3,3,9,5,1,7
40,No,Travel_Rarely,580,Sales,3,5,Marketing,1,549,2,Female,73,4,2,Manager,3,Married,5206,17796,0,Y,Yes,15,3,3,80,3,10,4,3,6,3,3,1
47,No,Travel_Rarely,666,Research & Development,10,4,Medical,1,550,2,Female,79,4,4,Research Director,3,Married,15092,21085,4,Y,Yes,20,4,3,80,2,9,2,3,4,1,2,2
52,No,Travel_Rarely,353,Research & Development,29,2,Medical,1,551,4,Female,67,1,4,Manufacturing Director,1,Divorced,13827,3363,2,Y,No,13,3,4,80,0,22,2,1,17,6,1,6
34,No,Travel_Rarely,1424,Research & Development,6,4,Medical,1,552,4,Male,94,4,2,Human Resources,3,Single,5906,18755,3,Y,No,16,3,2,80,1,7,1,2,4,3,2,3
53,No,Travel_Rarely,1497,Research & Development,9,1,Marketing,1,553,1,Female,38,1,5,Research Director,4,Divorced,18671,24093,1,Y,No,17,3,2,80,2,23,2,4,8,3,1,2
31,No,Travel_Rarely,1083,Research & Development,29,2,Medical,1,554,2,Female,87,1,1,Research Director,4,Single,1009,15484,1,Y,Yes,12,3,4,80,2,6,2,3,3,1,1,1
60,Yes,Travel_Rarely,207,Sales,29,2,Marketing,1,555,4,Female,98,2,5,Research Scientist,1,Married,18852,18463,5,Y,No,12,3,2,80,1,17,1,1,12,4,2,8
39,No,Travel_Frequently,691,Research & Development,27,4,Life Sciences,1,556,1,Male,89,2,2,Manufacturing Director,1,Divorced,4452,4215,2,Y,No,23,3,2,80,2,16,3,3,8,5,4,3
49,No,Travel_Rarely,491,Research & Development,8,3,Medical,1,557,4,Male,49,1,4,Manager,3,Married,15671,20880,4,Y,No,12,3,1,80,1,15,2,4,6,4,3,4
55,Yes,Travel_Rarely,1385,Research & Development,6,4,Marketing,1,558,1,Male,97,3,4,Human Resources,1,Single,12363,24885,4,Y,Yes,19,3,2,80,0,18,1,4,7,6,0,6
52,No,Travel_Rarely,1012,Research & Development,22,3,Life Sciences,1,559,2,Male,98,4,3,Sales Executive,3,Divorced,9970,10906,1,Y,No,17,3,1,80,0,12,6,1,8,5,1,4
54,No,Travel_Rarely,1455,Research & Development,29,4,Technical Degree,1,560,3,Male,89,3,5,Research Scientist,2,Divorced,18785,12432,1,Y,No,21,3,4,80,3,16,3,1,10,4,3,5
41,No,Non-Travel,1267,Research & Development,11,1,Life Sciences,1,561,2,Male,52,4,4,Research Scientist,4,Married,14487,14984,2,Y,No,24,4,3,80,2,13,0,1,7,2,2,6
19,No,Travel_Rarely,847,Research & Development,15,4,Life Sciences,1,562,1,Male,86,4,1,Research Scientist,1,Married,1344,5708,0,Y,No,13,3,2,80,3,0,0,2,0,0,0,0
39,Yes,Travel_Rarely,496,Research & Development,6,1,Technical Degree,1,563,1,Male,90,4,3,Sales Representative,1,Divorced,8129,4350,1,Y,Yes,25,3,4,80,2,9,0,4,8,5,4,2
25,Yes,Travel_Rarely,1191,Sales,3,1,Life Sciences,1,564,2,Male,43,1,2,Sales Executive,1,Single,4702,4195,0,Y,No,12,3,2,80,2,3,2,2,2,2,1,1
56,No,Non-Travel,1075,Human Resources,3,4,Life Sciences,1,565,2,Male,48,3,5,Research Scientist,1,Married,19999,6052,2,Y,No,24,4,2,80,1,19,1,4,11,3,3,6
28,No,Travel_Rarely,1186,Research & Development,11,1,Life Sciences,1,566,4,Male,83,1,1,Manager,1,Married,2173,21639,2,Y,Yes,18,4,3,80,0,11,6,1,10,5,5,7
27,No,Travel_Rarely,1404,Research & Development,5,4,Technical Degree,1,567,3,Female,87,4,2,Laboratory Technician,4,Single,6884,17773,0,Y,No,11,3,2,80,2,5,3,4,0,0,0,0
28,No,Travel_Rarely,952,Research & Development,14,1,Medical,1,568,1,Female,74,4,1,Sales Executive,3,Divorced,4401,17354,1,Y,No,18,3,2,80,0,4,5,4,2,1,1,1
45,No,Travel_Rarely,1033,Research & Development,6,1,Medical,1,569,4,Male,68,1,2,Healthcare Representative,3,Married,6867,3970,1,Y,No,24,3,3,80,3,23,1,4,10,7,5,7
42,No,Travel_Frequently,692,Research & Development,26,5,Marketing,1,570,3,Male,98,3,3,Laboratory Technician,2,Divorced,7787,8362,2,Y,No,19,3,2,80,0,11,0,3,11,6,3,2
58,No,Travel_Rarely,789,Research & Development,8,1,Medical,1,571,1,Male,54,1,5,Human Resources,1,Married,19999,25402,0,Y,No,12,3,2,80,3,19,2,3,14,5,5,11
35,No,Travel_Rarely,289,Sales,9,5,Human Resources,1,572,2,Male,81,3,2,Manager,4,Married,7915,15369,1,Y,No,22,3,1,80,1,8,4,1,8,4,1,6
30,No,Travel_Rarely,369,Research & Development,29,2,Marketing,1,573,3,Male,97,2,3,Human Resources,4,Married,8941,4099,1,Y,No,23,3,4,80,1,6,5,4,5,2,2,4
20,No,Travel_Frequently,1496,Research & Development,13,4,Life Sciences,1,574,3,Male,48,4,2,Sales Executive,2,Married,4942,25665,0,Y,No,20,3,4,80,1,3,1,3,0,0,0,0
18,No,Travel_Rarely,351,Research & Development,15,5,Other,1,575,3,Female,35,2,1,Sales Representative,4,Divorced,1967,16182,0,Y,No,17,3,3,80,2,5,2,3,5,2,1,2
34,No,Travel_Rarely,202,Research & Development,9,1,Medical,1,576,2,Female,41,3,3,Manufacturing Director,3,Married,9066,14375,2,Y,No,21,3,3,80,3,10,3,2,10,5,3,3
57,Yes,Non-Travel,1217,Research & Development,12,2,Life Sciences,1,577,3,Male,77,3,3,Manager,2,Married,8578,16950,3,Y,No,16,3,4,80,1,23,2,1,8,7,2,3
40,No,Travel_Rarely,290,Sales,4,3,Life Sciences,1,578,4,Male,49,3,2,Laboratory Technician,1,Married,5719,11822,1,Y,No,13,3,4,80,1,15,2,3,5,3,1,2
56,No,Travel_Frequently,746,Research & Development,23,5,Medical,1,579,1,Male,80,4,5,Sales Executive,3,Single,17383,19148,5,Y,No,23,4,2,80,3,19,6,3,14,5,2,8
22,Yes,Travel_Frequently,625,Sales,7,1,Life Sciences,1,580,2,Male,64,1,1,Sales Executive,1,Single,3040,9760,1,Y,Yes,17,3,3,80,1,5,6,1,0,0,0,0
22,No,Travel_Rarely,683,Research & Development,3,1,Medical,1,581,4,Male,91,1,2,Sales Representative,2,Married,6873,10920,2,Y,No,22,3,4,80,1,7,2,4,3,1,1,2
53,No,Travel_Rarely,658,Research & Development,16,2,Life Sciences,1,582,3,Female,76,3,4,Sales Representative,3,Married,14978,6633,3,Y,No,19,3,1,80,3,13,0,1,3,2,1,1
22,No,Travel_Rarely,152,Research & Development,18,2,Medical,1,583,1,Male,72,1,3,Sales Executive,2,Married,8003,6971,2,Y,Yes,24,4,4,80,3,12,2,3,6,2,3,3
20,No,Travel_Rarely,475,Research & Development,11,2,Life Sciences,1,584,1,Female,45,2,1,Healthcare Representative,1,Married,2869,24766,1,Y,No,18,3,2,80,2,1,6,1,0,0,0,0
35,No,Travel_Rarely,997,Research & Development,29,1,Technical Degree,1,585,3,Male,53,3,4,Manager,1,Married,12238,7108,1,Y,No,15,3,1,80,0,8,6,4,3,1,0,1
57,No,Non-Travel,211,Research & Development,7,5,Life Sciences,1,586,2,Male,46,3,5,Manufacturing Director,3,Married,18202,6370,4,Y,Yes,15,3,2,80,1,15,4,2,8,4,3,5
47,No,Travel_Rarely,473,Research & Development,11,4,Life Sciences,1,587,4,Female,34,1,5,Research Scientist,4,Married,18592,13947,3,Y,No,18,3,3,80,3,10,4,2,10,9,2,6
22,Yes,Travel_Rarely,1358,Research & Development,1,1,Medical,1,588,1,Male,51,3,1,Research Director,3,Divorced,3760,3454,3,Y,Yes,25,3,3,80,3,7,2,3,2,1,1,1
53,No,Travel_Rarely,1016,Research & Development,1,3,Medical,1,589,3,Female,97,4,4,Healthcare Representative,1,Single,13152,12311,4,Y,No,13,3,1,80,2,25,3,4,16,6,7,10
54,Yes,Travel_Rarely,819,Sales,14,4,Medical,1,590,3,Female,87,1,4,Manager,3,Married,12757,5648,2,Y,No,13,3,3,80,1,16,6,3,9,2,0,7
52,No,Travel_Rarely,864,Research & Development,17,4,Medical,1,591,2,Female,46,2,4,Healthcare Representative,2,Single,14909,8518,1,Y,No,14,3,3,80,3,18,1,3,9,2,3,8
56,No,Travel_Frequently,1456,Research & Development,13,5,Life Sciences,1,592,2,Female,55,2,5,Manager,3,Divorced,18493,6639,3,Y,No,25,3,3,80,2,19,2,1,14,5,3,3
28,No,Travel_Rarely,170,Research & Development,17,4,Technical Degree,1,593,2,Male,81,2,2,Sales Executive,3,Married,4493,23664,0,Y,Yes,20,3,4,80,0,10,6,4,5,3,2,2
60,No,Travel_Rarely,1328,Sales,22,4,Medical,1,594,4,Male,35,2,5,Human Resources,4,Married,19975,12674,1,Y,No,22,3,4,80,1,28,4,3,26,14,3,17
31,Yes,Travel_Rarely,769,Sales,11,1,Life Sciences,1,595,2,Male,81,1,2,Research Scientist,4,Divorced,6051,2142,0,Y,No,19,3,2,80,1,13,0,1,11,9,5,2
52,No,Travel_Rarely,792,Human Resources,9,1,Marketing,1,596,2,Male,68,3,4,Sales Representative,1,Married,13751,24748,0,Y,No,19,3,2,80,2,16,5,2,5,4,2,3
42,No,Non-Travel,421,Research & Development,5,4,Medical,1,597,4,Female,80,1,3,Human Resources,1,Single,8078,26950,1,Y,No,20,4,4,80,0,14,0,3,8,7,1,5
51,No,Travel_Rarely,644,Research & Development,14,5,Medical,1,598,3,Female,30,1,4,Healthcare Representative,4,Married,14455,5451,4,Y,No,12,3,4,80,3,19,2,4,9,5,4,3
44,No,Travel_Rarely,860,Human Resources,25,2,Medical,1,599,1,Male,96,3,3,Manufacturing Director,2,Single,9147,4576,2,Y,No,20,3,1,80,0,13,6,3,4,2,0,2
45,No,Travel_Rarely,458,Research & Development,19,4,Life Sciences,1,600,1,Female,77,4,3,Sales Executive,1,Divorced,8751,5734,2,Y,No,19,3,2,80,2,10,0,2,10,6,3,7
44,No,Travel_Rarely,590,Sales,29,2,Medical,1,601,3,Male,42,3,4,Laboratory Technician,1,Married,14145,8831,2,Y,No,23,3,4,80,1,10,1,2,7,3,2,1
51,Yes,Travel_Rarely,1489,Sales,12,3,Life Sciences,1,602,3,Female,89,2,4,Healthcare Representative,2,Married,13272,12985,5,Y,Yes,12,3,3,80,0,20,6,3,13,5,1,3
49,No,Travel_Frequently,1242,Research & Development,8,4,Life Sciences,1,603,2,Male,32,2,5,Sales Executive,4,Divorced,18344,21852,3,Y,No,18,3,4,80,2,20,4,4,12,9,2,9
23,No,Non-Travel,947,Sales,10,4,Other,1,604,4,Male,41,2,1,Sales Executive,4,Divorced,2794,24602,1,Y,No,24,3,1,80,3,3,1,3,0,0,0,0
53,No,Travel_Rarely,511,Research & Development,20,1,Medical,1,605,4,Female,86,1,5,Human Resources,3,Married,17847,23465,3,Y,No,23,3,4,80,3,18,2,4,13,6,5,7
41,Yes,Travel_Rarely,1276,Sales,17,5,Life Sciences,1,606,2,Female,89,3,3,Research Scientist,2,Single,7206,25184,2,Y,Yes,15,3,1,80,2,16,6,3,8,4,3,4
31,No,Travel_Rarely,1300,Sales,7,5,Life Sciences,1,607,1,Male,36,1,2,Research Scientist,3,Married,5392,3453,1,Y,No,21,3,1,80,3,1,4,2,0,0,0,0
40,No,Travel_Rarely,1477,Sales,14,3,Marketing,1,608,1,Female,78,3,3,Research Scientist,4,Divorced,9687,25774,2,Y,No,16,3,3,80,3,10,2,2,6,4,1,4
59,No,Travel_Rarely,1035,Sales,6,2,Life Sciences,1,609,1,Male,87,2,5,Healthcare Representative,2,Divorced,16513,18396,3,Y,No,22,4,4,80,3,27,1,2,13,6,6,4
54,No,Travel_Rarely,414,Sales,17,3,Life Sciences,1,610,3,Male,36,2,4,Laboratory Technician,3,Married,13530,5253,5,Y,No,20,3,2,80,0,19,2,1,5,4,1,4
53,Yes,Travel_Rarely,628,Research & Development,2,5,Life Sciences,1,611,2,Female,35,2,5,Sales Representative,2,Single,19327,26837,2,Y,No,18,3,1,80,3,13,2,3,5,3,1,3
37,No,Travel_Rarely,1394,Research & Development,3,3,Marketing,1,612,1,Male,46,1,3,Laboratory Technician,4,Single,9787,19665,3,Y,No,11,4,4,80,2,10,3,1,9,4,4,2
51,No,Travel_Rarely,246,Research & Development,3,1,Medical,1,613,1,Male,45,1,4,Sales Executive,3,Divorced,16160,20831,4,Y,No,22,4,1,80,2,20,0,4,17,12,1,10
34,No,Travel_Rarely,1211,Research & Development,5,1,Life Sciences,1,614,2,Female,46,1,3,Laboratory Technician,1,Single,8191,18216,0,Y,No,19,3,3,80,3,0,3,4,0,0,0,0
47,Yes,Travel_Rarely,802,Research & Development,15,5,Life Sciences,1,615,3,Male,86,4,4,Sales Executive,4,Married,16367,21606,2,Y,No,18,3,1,80,2,15,1,2,12,9,1,9
45,No,Travel_Rarely,737,Research & Development,20,4,Medical,1,616,1,Female,44,1,4,Sales Representative,3,Married,14547,2852,0,Y,No,21,3,3,80,2,12,6,3,6,3,3,3
28,No,Travel_Rarely,325,Research & Development,11,4,Medical,1,617,2,Female,67,1,1,Sales Executive,2,Single,3977,15953,0,Y,Yes,24,3,1,80,3,0,1,1,0,0,0,0
29,No,Travel_Frequently,1427,Sales,3,1,Medical,1,618,2,Male,53,1,2,Sales Executive,1,Married,4222,18837,0,Y,No,14,3,2,80,0,7,1,3,7,5,1,4
20,Yes,Travel_Rarely,394,Research & Development,23,1,Life Sciences,1,619,1,Male,52,2,1,Laboratory Technician,3,Divorced,3544,23575,1,Y,No,24,3,2,80,2,2,2,4,2,2,0,1
24,No,Travel_Rarely,926,Human Resources,10,2,Marketing,1,620,4,Female,94,3,1,Sales Executive,1,Married,4081,19452,0,Y,Yes,13,3,4,80,2,4,4,3,3,3,2,2
36,No,Travel_Rarely,871,Research & Development,27,2,Human Resources,1,621,1,Female,52,2,4,Manufacturing Director,1,Married,13173,8272,1,Y,Yes,20,3,3,80,0,8,5,4,5,3,2,2
38,No,Travel_Rarely,651,Sales,12,2,Medical,1,622,1,Male,45,3,2,Laboratory Technician,3,Married,2373,18448,0,Y,No,18,4,4,80,0,7,2,1,3,2,0,2
25,No,Travel_Rarely,305,Research & Development,2,3,Life Sciences,1,623,1,Male,46,3,1,Human Resources,2,Divorced,3179,8241,1,Y,No,22,3,3,80,2,0,4,4,0,0,0,0
35,No,Travel_Rarely,325,Research & Development,6,2,Medical,1,624,2,Female,95,1,3,Sales Executive,3,Married,8242,7465,0,Y,No,19,3,2,80,1,7,0,2,6,2,1,2
43,No,Travel_Rarely,992,Research & Development,2,1,Life Sciences,1,625,3,Female,89,1,2,Manufacturing Director,2,Married,7113,17483,2,Y,No,19,3,2,80,1,16,1,1,14,5,1,5
28,No,Travel_Rarely,1118,Research & Development,1,3,Life Sciences,1,626,2,Male,69,3,1,Manager,3,Married,2354,10371,1,Y,Yes,17,3,3,80,0,7,2,3,7,1,1,2
32,No,Travel_Frequently,440,Research & Development,8,4,Life Sciences,1,627,4,Female,69,4,3,Sales Executive,3,Single,7654,10367,1,Y,No,20,3,3,80,2,8,4,3,0,0,0,0
33,No,Travel_Frequently,1183,Research & Development,12,4,Technical Degree,1,628,2,Female,66,1,2,Healthcare Representative,3,Single,4094,15885,1,Y,Yes,15,3,4,80,1,5,3,1,2,1,0,1
39,No,Travel_Rarely,1057,Research & Development,16,2,Life Sciences,1,629,1,Female,71,4,3,Research Director,3,Divorced,7744,6932,1,Y,No,15,3,4,80,0,10,3,2,10,7,1,5
33,No,Travel_Rarely,391,Sales,21,2,Technical Degree,1,630,3,Male,77,4,2,Sales Representative,4,Married,8700,5541,4,Y,No,17,3,1,80,0,11,4,4,7,4,4,2
49,No,Travel_Rarely,638,Sales,7,3,Medical,1,631,4,Male,34,4,3,Human Resources,2,Single,6596,12967,2,Y,Yes,14,3,4,80,1,17,1,1,6,2,2,2
32,No,Travel_Rarely,621,Human Resources,3,1,Medical,1,632,3,Male,87,3,1,Manager,2,Single,1398,6047,1,Y,No,15,3,2,80,2,6,1,1,5,3,1,1
36,No,Travel_Rarely,876,Research & Development,12,5,Life Sciences,1,633,3,Male,83,2,2,Laboratory Technician,1,Divorced,5435,20416,0,Y,No,12,3,3,80,2,0,4,4,0,0,0,0
34,No,Travel_Rarely,178,Research & Development,7,5,Medical,1,634,4,Male,97,3,2,Human Resources,2,Married,7869,19496,2,Y,No,14,3,4,80,2,6,6,3,0,0,0,0
25,No,Travel_Rarely,1431,Research & Development,19,1,Life Sciences,1,635,4,Male,60,1,2,Research Scientist,2,Married,6390,25598,0,Y,No,17,3,4,80,2,3,0,2,3,3,1,1
